Year	New York	Philadelphia
2004	54121.0	47289.0
2005	55137.0	45922.0
2006	56683.0	48649.0
2007	59185.0	55706.0
2008	60273.0	56790.0
2009	58942.0	52041.0
2010	58172.0	50985.0
2011	58658.0	53546.0
2012	60791.0	55766.0
2013	63193.0	57907.0
2014	62872.0	60480.0
2015	63752.0	62563.0
2016	67782.0	65436.0
2017	70875.0	70813.0
