Year	New York	Philadelphia
2004	74851.0	61496.0
2005	73243.0	60304.0
2006	76022.0	65637.0
2007	82011.0	73674.0
2008	81509.0	76612.0
2009	78441.0	69603.0
2010	77886.0	67320.0
2011	80222.0	71691.0
2012	80862.0	69975.0
2013	82749.0	71457.0
2014	87198.0	78350.0
2015	87106.0	85785.0
2016	88313.0	88974.0
2017	100911.0	93210.0
