Year	New York	Philadelphia
2004	7283.0	6481.0
2005	7101.0	6031.0
2006	7023.0	5600.0
2007	7223.0	6107.0
2008	7420.0	6460.0
2009	7412.0	6217.0
2010	7371.0	5997.0
2011	7274.0	6788.0
2012	7225.0	7662.0
2013	7329.0	7263.0
2014	6943.0	6788.0
2015	6796.0	7349.0
2016	7689.0	8203.0
2017	8706.0	8919.0
