Year	Food Expenditures
2004	6280.0
2005	6745.0
2006	6981.0
2007	6745.0
2008	6970.0
2009	6854.0
2010	6854.0
2011	7217.0
2012	7213.0
2013	7178.0
2014	7473.0
2015	7978.0
2016	8571.0
2017	8947.0
