Year	Los Angeles	San Francisco
2004	960.0	1107.0
2005	1127.0	1106.0
2006	1298.0	1080.0
2007	1127.0	1106.0
2008	895.0	1555.0
2009	1112.0	1754.0
2010	1112.0	1754.0
2011	1471.0	1961.0
2012	1594.0	2062.0
2013	1601.0	1900.0
2014	1586.0	1806.0
2015	1559.0	1833.0
2016	2024.0	3214.0
2017	2334.0	3746.0
