Year	Education Expenditures
2004	1256.0
2005	1232.0
2006	1121.0
2007	1374.0
2008	1648.0
2009	1664.0
2010	1619.0
2011	1704.0
2012	1830.0
2013	2033.0
2014	2082.0
2015	1985.0
2016	2144.0
2017	2222.0
